Origin,Dest,CancellationCode,origin_place,origin_lat,origin_long,dest_place,dest_lat,dest_long,date,flightName
LAS,OAK,Carrier,Las Vegas,36.080056,-115.15225,Oakland,37.721278,-122.220722,03/01/2008,WN 126
LAX,OAK,Carrier,Los Angeles,33.942536,-118.408075,Oakland,37.721278,-122.220722,03/01/2008,WN 1146
LAX,SFO,Carrier,Los Angeles,33.942536,-118.408075,San Francisco,37.618972,-122.374889,03/01/2008,WN 469
LAX,SFO,NAS,Los Angeles,33.942536,-118.408075,San Francisco,37.618972,-122.374889,03/01/2008,WN 618
LAX,SJC,Carrier,Los Angeles,33.942536,-118.408075,San Jose,37.3626,-121.929022,03/01/2008,WN 2528
MDW,BDL,Carrier,Chicago,41.785972,-87.752417,Windsor Locks,41.938889,-72.683222,03/01/2008,WN 437
MDW,BNA,Carrier,Chicago,41.785972,-87.752417,Nashville,36.124472,-86.678194,03/01/2008,WN 934
MDW,DTW,Carrier,Chicago,41.785972,-87.752417,Detroit,42.212444,-83.353389,03/01/2008,WN 3326
MDW,STL,Carrier,Chicago,41.785972,-87.752417,St. Louis,38.748697,-90.370028,03/01/2008,WN 1402
MDW,STL,Carrier,Chicago,41.785972,-87.752417,St. Louis,38.748697,-90.370028,03/01/2008,WN 2205
OAK,BUR,Carrier,Oakland,37.721278,-122.220722,Burbank,34.200667,-118.358667,03/01/2008,WN 1219
OAK,BUR,Carrier,Oakland,37.721278,-122.220722,Burbank,34.200667,-118.358667,03/01/2008,WN 2283
OAK,LAX,Carrier,Oakland,37.721278,-122.220722,Los Angeles,33.942536,-118.408075,03/01/2008,WN 495
OAK,LAX,Carrier,Oakland,37.721278,-122.220722,Los Angeles,33.942536,-118.408075,03/01/2008,WN 746
OAK,ONT,Carrier,Oakland,37.721278,-122.220722,Ontario,34.056,-117.601194,03/01/2008,WN 2109
OAK,SAN,Carrier,Oakland,37.721278,-122.220722,San Diego,32.733556,-117.189667,03/01/2008,WN 2525
OAK,SAN,Carrier,Oakland,37.721278,-122.220722,San Diego,32.733556,-117.189667,03/01/2008,WN 3586
OAK,SNA,Carrier,Oakland,37.721278,-122.220722,Santa Ana,33.675667,-117.868222,03/01/2008,WN 747
ONT,OAK,Carrier,Ontario,34.056,-117.601194,Oakland,37.721278,-122.220722,03/01/2008,WN 2196
